gene_name,NC_1,NC_2,NC_3,S4_1,S4_2,S4_3
A1BG,45,38,48,31,43,36
A1CF,0,0,0,9,6,7
A2M,12692,13083,13037,921,759,538
A2ML1,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0
A4GALT,271,288,290,124,145,119
A4GNT,8,5,11,0,2,0
AAAS,488,502,507,590,671,522
AACS,569,642,619,731,906,781
AADAC,0,0,0,2,0,0
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,6,4,6,0,2,0
AADAT,221,213,252,250,332,288
AAGAB,955,1082,969,1331,1412,1364
AAK1,1609,1619,1598,2161,2396,2149
AAMDC,191,235,239,116,167,112
AAMP,760,718,842,1441,1579,1308
AANAT,0,0,0,0,0,0
AAR2,595,672,658,671,813,695
AARD,29,37,43,9,9,9
AARS1,2248,2525,2499,3782,4200,3746
AARS2,186,185,166,348,338,280
AARSD1,262,282,282,359,409,363
AASDH,250,304,293,372,336,270
AASDHPPT,1157,1308,1232,1836,2172,1799
AASS,1413,1449,1586,786,744,603
AATF,626,705,669,1876,1968,1744
AATK,22,9,18,15,14,11
ABAT,235,272,257,56,56,43
ABCA1,1316,1355,1405,675,818,647
ABCA10,35,41,44,18,20,6
ABCA12,1,1,1,2,3,16
ABCA13,78,58,59,17,43,35
ABCA2,799,878,814,384,497,385
ABCA3,42,28,33,87,106,72
ABCA4,9,12,7,6,2,1
ABCA5,494,537,577,381,385,285
ABCA6,117,88,94,25,26,7
ABCA7,82,64,93,38,38,37
ABCA8,233,218,238,168,164,152
ABCA9,16,17,12,28,14,6
ABCB1,10,2,5,3,8,6
ABCB10,604,656,717,1037,1151,925
ABCB11,0,0,0,0,0,0
ABCB4,91,90,96,5,9,3
ABCB5,0,0,0,0,0,0
ABCB6,229,237,239,219,289,219
ABCB7,245,267,259,351,379,277
ABCB8,256,243,287,336,366,228
ABCB9,68,52,83,86,104,85
ABCC1,1625,1757,1721,1423,1651,1452
ABCC10,350,420,335,350,402,281
ABCC11,5,4,5,4,2,7
ABCC12,0,0,0,0,0,0
ABCC2,6,7,15,64,60,35
ABCC3,2768,2879,2956,1479,1685,1446
ABCC4,871,999,1075,1174,1483,1191
ABCC5,862,837,985,858,1071,907
ABCC6,4,6,7,2,4,1
ABCC8,0,0,0,0,0,0
ABCC9,576,577,588,151,196,157
ABCD1,153,193,180,133,135,109
ABCD2,1,0,2,0,0,0
ABCD3,1403,1548,1407,1789,1999,1823
ABCD4,305,374,362,304,380,293
ABCE1,1753,1911,1951,5722,6329,5331
ABCF1,964,991,1054,1813,2106,1752
ABCF2,505,594,527,1322,1421,1191
ABCF2-H2BK1,640,701,699,1166,1467,1207
ABCF3,594,681,729,822,878,703
ABCG1,0,0,0,2,1,2
ABCG2,29,16,23,35,40,30
ABCG4,10,5,2,2,6,2
ABCG5,0,0,0,0,2,0
ABCG8,1,1,0,0,0,0
ABHD1,0,0,3,0,0,0
ABHD10,360,410,409,879,876,784
ABHD11,42,40,41,83,106,84
ABHD12,874,941,864,1025,1070,905
ABHD12B,3,1,0,0,1,3
ABHD13,512,589,540,586,747,547
ABHD14A,50,29,34,33,42,36
ABHD14A-ACY1,0,3,1,9,8,10
ABHD14B,353,371,372,323,351,237
ABHD15,237,237,227,156,203,171
ABHD16A,358,346,372,270,261,228
ABHD16B,0,6,0,0,0,0
ABHD17A,344,382,384,447,561,401
ABHD17B,544,592,544,450,499,358
ABHD17C,298,340,332,524,562,476
ABHD18,169,150,193,196,199,186
ABHD2,2101,2218,2241,2300,2508,2116
ABHD3,125,123,131,241,253,192
ABHD4,1962,2078,2150,526,655,495
ABHD5,768,859,897,1840,2203,1778
ABHD6,129,90,117,128,104,110
ABHD8,87,71,53,50,51,56
ABI1,1210,1336,1277,1343,1614,1303
ABI2,1746,1902,1953,2195,2474,2141
ABI3,0,0,0,0,1,2
ABI3BP,80,68,87,905,945,750
ABITRAM,245,314,350,460,468,331
ABL1,1130,1294,1246,1487,1883,1451
ABL2,1635,1690,1840,6184,6698,5511
ABLIM1,1172,1242,1196,434,479,438
ABLIM2,5,10,8,4,3,1
ABLIM3,603,605,685,2295,2638,2121
ABO,0,0,0,0,0,0
ABR,939,1045,995,1392,1605,1345
ABRA,5,22,13,1,3,2
ABRACL,320,344,347,1009,1175,978
ABRAXAS1,226,225,284,310,369,293
ABRAXAS2,504,596,582,691,787,637
ABT1,245,293,267,418,498,406
ABTB1,375,333,332,171,166,141
ABTB2,328,364,340,395,427,352
ABTB3,1,1,4,2,3,7
ACAA1,531,636,524,390,460,416
ACAA2,757,883,894,853,899,702
ACACA,1411,1446,1538,1349,1522,1284
ACACB,147,202,158,93,71,68
ACAD10,353,356,375,237,307,231
ACAD11,1074,1072,1147,620,700,579
ACAD8,360,372,406,364,456,362
ACAD9,476,576,514,722,800,664
ACADL,0,0,0,0,0,1
ACADM,1073,1258,1234,1108,1183,1060
ACADS,134,123,110,57,115,73
ACADSB,603,642,683,634,749,637
ACADVL,2894,3107,3133,3949,4383,3936
ACAN,44196,45835,44259,1213,1088,698
ACAP1,21,35,21,37,61,23
ACAP2,2128,2296,2322,3797,4101,3481
ACAP3,393,479,394,443,381,319
ACAT1,718,824,727,1052,1260,1107
ACAT2,336,424,384,680,792,627
ACBD3,1884,2188,2209,2297,2659,2225
ACBD4,118,144,108,33,50,33
ACBD5,864,931,887,950,1076,899
ACBD6,450,431,452,571,632,584
ACBD7,11,14,11,77,70,49
ACCS,371,427,450,158,183,138
ACCSL,0,0,2,0,1,0
ACD,62,88,87,248,222,220
ACE,149,120,151,52,50,48
ACE2,0,0,0,0,0,0
ACER1,0,0,0,2,0,1
ACER2,33,34,52,89,151,112
ACER3,663,661,713,842,987,848
ACHE,4,6,4,3,3,9
ACIN1,3198,3343,3404,4511,5052,4272
ACKR1,0,0,0,0,0,0
ACKR2,3,1,1,0,2,1
ACKR3,446,484,428,53,64,45
ACKR4,216,170,226,365,390,307
ACLY,3566,3863,4060,5611,6601,5616
ACMSD,5,1,2,6,2,6
ACO1,1439,1720,1575,2216,2449,1942
ACO2,1041,1080,1049,1165,1265,967
ACOD1,0,0,0,0,0,0
ACOT1,101,93,86,72,74,62
ACOT11,64,61,43,54,65,59
ACOT12,1,3,2,0,0,0
ACOT13,276,258,303,248,323,280
ACOT2,374,363,427,309,258,202
ACOT4,26,48,41,42,41,36
ACOT6,0,0,0,0,0,0
ACOT7,361,355,347,943,1009,877
ACOT8,157,209,220,147,207,140
ACOT9,989,1000,1072,1230,1505,1209
ACOX1,768,895,834,686,770,661
ACOX2,73,103,110,35,33,34
ACOX3,259,279,258,232,324,268
ACOXL,0,1,0,1,0,1
ACP1,1095,1215,1238,1903,2128,1743
ACP2,408,421,473,305,359,283
ACP3,0,0,0,0,2,3
ACP4,0,0,0,0,0,0
ACP5,48,40,59,87,86,68
ACP6,160,207,231,139,155,152
ACP7,0,0,0,3,0,0
ACR,0,0,1,0,0,0
ACRBP,0,0,0,5,3,8
ACRV1,0,0,0,2,3,0
ACSBG1,41,36,22,46,92,91
ACSBG2,0,2,0,2,0,0
ACSF2,126,139,121,88,97,89
ACSF3,293,326,327,313,345,307
ACSL1,743,780,784,1136,1357,1192
ACSL3,4505,4876,4900,6137,7091,5956
ACSL4,2596,2803,3057,5395,6165,5213
ACSL5,65,48,45,55,59,55
ACSL6,0,0,3,3,4,3
ACSM1,0,0,0,3,0,0
ACSM2A,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0
ACSM3,17,13,10,12,35,35
ACSM4,1,0,0,0,0,0
ACSM5,0,0,0,0,0,0
ACSM6,0,1,0,0,0,0
ACSS1,264,211,243,134,150,147
ACSS2,420,501,459,266,260,258
ACSS3,498,512,584,370,372,295
ACTA1,0,1,1,0,0,0
ACTA2,1986,2215,1998,671,836,646
ACTB,79367,88385,82839,57853,67228,55177
ACTBL2,1,1,0,3,7,3
ACTC1,168,234,239,34,26,10
ACTG1,51777,57967,55836,47818,54501,46491
ACTG2,19,20,16,0,0,2
ACTL10,17,12,18,4,5,19
ACTL6A,579,666,607,1441,1861,1772
ACTL6B,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,0
ACTL8,0,0,0,3,0,0
ACTL9,0,0,0,0,0,0
ACTMAP,124,119,119,147,160,127
ACTN1,15630,16509,15703,14661,16899,14079
ACTN2,0,0,0,1,5,3
ACTN3,0,0,6,2,0,0
ACTN4,17176,18757,18166,8127,8855,7436
ACTR10,1308,1451,1431,1373,1615,1378
ACTR1A,2103,2281,2197,2161,2401,2075
ACTR1B,749,869,839,582,623,603
ACTR2,12833,14308,13929,17824,20070,17138
ACTR3,9313,10149,10131,11823,13445,11202
ACTR3B,126,132,134,189,221,174
ACTR3C,11,11,12,5,5,1
ACTR5,37,64,67,133,133,127
ACTR6,410,420,512,615,688,625
ACTR8,689,762,719,881,870,781
ACTRT1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
ACTRT3,56,87,70,44,45,63
ACVR1,1159,1287,1275,1099,1319,1096
ACVR1B,627,666,704,713,734,639
ACVR1C,3,4,3,22,22,14
ACVR2A,205,207,247,173,193,191
ACVR2B,106,123,162,168,177,169
ACVRL1,431,442,445,331,371,286
ACY1,126,115,129,171,153,127
ACY3,0,0,0,0,0,0
ACYP1,29,56,43,127,132,124
ACYP2,191,210,212,118,133,104
ADA,75,72,87,96,130,99
ADA2,18,25,7,20,6,15
ADAD1,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0
ADAL,165,174,176,261,225,220
ADAM10,3929,4324,4433,4276,4821,3990
ADAM11,14,8,11,2,1,5
ADAM12,198,227,206,739,809,677
ADAM15,312,392,318,808,856,692
ADAM17,883,1033,1002,1223,1267,1112
ADAM18,0,0,0,0,0,0
ADAM19,1219,1320,1400,2977,3476,2945
ADAM2,0,0,0,0,0,0
ADAM20,4,0,0,1,0,4
ADAM21,13,7,9,7,8,13
ADAM22,14,13,17,28,10,15
ADAM23,66,83,85,158,170,119
ADAM28,14,14,7,0,0,0
ADAM29,0,0,0,0,0,0
ADAM30,0,0,0,0,0,2
ADAM32,31,30,24,38,42,25
ADAM33,2797,2870,2818,821,959,800
ADAM7,0,0,0,0,0,0
ADAM8,6,7,2,7,7,14
ADAM9,9181,9654,9692,13109,14546,12107
ADAMDEC1,0,0,0,0,0,0
ADAMTS1,29136,30956,30547,9373,9226,7439
ADAMTS10,141,134,111,31,39,29
ADAMTS12,726,700,772,576,690,532
ADAMTS13,36,50,26,20,18,17
ADAMTS14,261,217,241,12,9,10
ADAMTS15,21,44,34,55,33,32
ADAMTS16,0,0,0,0,3,0
ADAMTS17,0,1,0,0,2,0
ADAMTS18,0,0,0,3,1,0
ADAMTS19,0,0,0,0,0,0
ADAMTS2,3617,3947,3789,1320,1511,1147
ADAMTS20,0,0,0,0,0,0
ADAMTS3,57,50,80,93,97,76
ADAMTS4,29,46,17,111,182,119
ADAMTS5,1432,1489,1529,276,295,208
ADAMTS6,104,71,82,742,881,677
ADAMTS7,712,772,786,200,206,203
ADAMTS8,0,1,0,0,0,0
ADAMTS9,174,174,201,204,206,150
ADAMTSL1,30,27,13,102,135,120
ADAMTSL2,0,0,0,0,0,0
ADAMTSL3,0,2,0,0,0,0
ADAMTSL4,1307,1300,1294,287,235,218
ADAMTSL5,216,229,231,110,152,140
ADAP1,47,59,68,21,23,12
ADAP2,0,3,11,5,11,3
ADAR,4991,5353,5279,6031,6783,5980
ADARB1,1412,1490,1486,817,818,690
ADARB2,0,0,0,0,0,0
ADAT1,551,564,538,747,767,639
ADAT2,42,77,90,234,317,242
ADAT3,10,10,10,12,12,8
ADCK1,89,100,91,78,80,69
ADCK2,120,136,144,166,176,141
ADCK5,38,55,37,52,43,56
ADCY1,1,8,1,17,24,15
ADCY10,1,6,2,12,25,12
ADCY2,1,0,3,0,0,1
ADCY3,1735,1813,1852,1711,1860,1619
ADCY4,397,373,321,208,180,195
ADCY5,10,18,13,8,8,6
ADCY6,1357,1327,1353,839,947,879
ADCY7,226,238,287,364,445,341
ADCY8,0,0,0,0,0,2
ADCY9,2279,2300,2300,918,1067,798
ADCYAP1,0,0,0,0,0,0
ADCYAP1R1,0,0,0,4,4,2
ADD1,4822,5039,5039,4112,4539,3809
ADD2,0,0,0,0,0,0
ADD3,2798,3124,3120,1525,1617,1388
ADGB,0,0,0,0,0,0
ADGRA1,0,0,0,0,0,0
ADGRA2,3654,3808,3827,1556,1694,1408
ADGRA3,288,299,309,754,805,750
ADGRB1,15,10,5,0,3,0
ADGRB2,99,117,112,55,42,37
ADGRB3,0,1,0,4,0,0
ADGRD1,290,300,294,35,34,21
ADGRD2,0,0,0,0,0,0
ADGRE1,0,0,0,0,0,0
ADGRE2,16,16,14,110,144,118
ADGRE3,0,0,0,0,0,0
ADGRE5,751,771,774,1570,1778,1462
ADGRF1,0,0,0,0,0,0
ADGRF3,5,5,5,6,12,14
ADGRF4,0,0,0,1,3,1
ADGRF5,0,0,0,0,1,0
ADGRG1,3,0,2,82,110,57
ADGRG2,12,14,13,12,5,14
ADGRG3,0,0,0,0,0,0
ADGRG4,2,0,2,0,0,0
ADGRG5,0,0,0,0,0,0
ADGRG6,211,275,249,1609,1880,1556
ADGRG7,0,0,0,0,0,0
ADGRL1,109,109,132,46,52,43
ADGRL2,646,667,686,176,172,160
ADGRL3,0,0,0,0,0,0
ADGRL4,48,64,75,246,304,233
ADGRV1,0,0,0,0,2,0
ADH1A,2,8,2,0,2,0
ADH1B,7,0,6,1,3,0
ADH1C,0,0,1,0,0,0
ADH4,0,3,1,0,0,0
ADH5,5364,6046,5973,4046,4543,3996
ADH6,2,2,2,1,1,0
ADH7,0,0,0,0,0,0
ADHFE1,142,107,140,30,21,17
ADI1,1836,2074,2178,1495,1662,1347
ADIG,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0
ADIPOR1,1679,1779,1808,1526,1734,1406
ADIPOR2,1758,1769,1814,2256,2376,2053
ADIRF,64,74,76,90,141,130
ADISSP,119,120,99,369,397,406
ADK,447,536,525,758,881,776
ADM,7212,8141,7709,7814,8628,7071
ADM2,342,358,335,449,518,504
ADM5,0,0,0,2,0,0
ADNP,1537,1515,1568,2094,2308,2156
ADNP2,392,378,380,883,962,821
ADO,709,824,785,770,916,794
ADORA1,9,14,25,17,28,24
ADORA2A,6,0,0,3,7,0
ADORA2B,16,27,16,103,66,61
ADORA3,0,0,0,0,0,0
ADPGK,927,917,1030,1536,1479,1358
ADPRH,291,284,345,230,210,214
ADPRHL1,94,93,89,669,772,668
ADPRM,173,214,182,143,168,125
ADPRS,163,177,167,239,306,229
ADRA1A,0,0,0,0,0,1
ADRA1B,223,270,288,63,78,59
ADRA1D,36,50,34,36,50,33
ADRA2A,107,122,140,8,4,5
ADRA2B,1,0,0,1,1,0
ADRA2C,32,29,28,19,14,18
ADRB1,2,1,0,4,1,3
ADRB2,48,46,49,170,193,157
ADRB3,0,0,0,2,0,0
ADRM1,440,547,482,945,982,854
ADSL,636,637,658,1312,1525,1193
ADSS1,102,97,116,42,44,42
ADSS2,1181,1208,1249,2634,2907,2366
ADTRP,5,6,8,11,14,7
AEBP1,6037,6579,6178,4856,5489,4316
AEBP2,691,786,762,1043,1251,967
AEN,776,895,895,2065,2302,1876
AFAP1,928,1067,1029,1835,2033,1644
AFAP1L1,95,115,89,462,604,497
AFAP1L2,15,18,14,1,0,8
AFDN,837,935,930,1259,1439,1238
AFF1,2507,2755,2697,2729,3026,2479
AFF2,1,9,4,0,1,1
AFF3,525,584,601,164,205,189
AFF4,5801,6241,6450,8556,9456,7710
AFG1L,111,132,141,94,135,118
AFG2A,215,254,218,466,538,452
AFG2B,100,113,71,262,310,311
AFG3L2,884,1006,979,1608,1863,1542
AFM,0,0,0,0,0,0
AFMID,147,166,177,143,182,140
AFP,0,0,0,1,0,0
AFTPH,651,687,774,934,1004,871
AGA,705,813,725,396,473,357
AGAP1,672,707,696,727,791,703
AGAP2,0,3,5,0,7,3
AGAP3,496,543,511,710,789,633
AGAP4,96,113,117,106,131,119
AGAP5,98,122,80,118,85,77
AGAP6,307,288,278,275,288,296
AGAP9,27,39,36,39,43,28
AGBL1,0,0,0,0,0,0
AGBL2,15,5,13,11,7,14
AGBL3,17,19,14,27,28,18
AGBL4,0,0,0,2,0,0
AGBL5,170,190,197,230,285,184
AGER,25,19,29,17,36,32
AGFG1,1506,1579,1693,1866,2056,1758
AGFG2,180,221,232,161,162,134
AGGF1,804,966,984,779,865,667
AGK,435,479,504,673,723,695
AGL,1471,1722,1613,743,698,686
AGMAT,23,19,13,76,74,76
AGMO,0,0,1,0,0,3
AGO1,547,571,634,801,847,759
AGO2,1382,1446,1531,2993,3378,2909
AGO3,582,611,581,784,881,728
AGO4,740,811,801,563,587,491
AGPAT1,841,914,861,629,694,611
AGPAT2,355,349,284,336,415,327
AGPAT3,1559,1702,1679,2099,2268,2091
AGPAT4,217,248,235,109,145,130
AGPAT5,181,237,220,1267,1475,1258
AGPS,1251,1378,1466,2288,2428,2068
AGR2,0,0,0,0,0,0
AGR3,0,0,0,0,0,0
AGRN,1620,1784,1554,952,1153,930
AGRP,0,0,0,0,0,0
AGT,45,62,65,18,35,44
AGTPBP1,357,353,365,370,378,384
AGTR1,9,20,26,65,55,45
AGTR2,0,0,0,0,0,0
AGTRAP,245,284,239,271,404,250
AGXT,0,0,0,0,0,0
AGXT2,0,0,0,0,0,0
AHCTF1,1597,1738,1867,3551,3875,3403
AHCY,1360,1533,1433,1944,2173,1839
AHCYL1,4157,4533,4647,3077,3296,2896
AHCYL2,357,407,377,320,408,269
AHDC1,285,313,266,339,357,313
AHI1,759,736,707,905,935,904
AHNAK,114571,113602,118867,86524,97482,86226
AHNAK2,925,849,955,1084,1245,1126
AHR,1251,1293,1311,3257,3526,2939
AHRR,1438,1322,1364,830,984,941
AHSA1,1038,1118,1218,1716,2229,1849
AHSG,0,0,0,0,0,0
AHSP,0,0,0,0,0,0
AICDA,0,1,1,2,0,0
AIDA,3307,3424,3721,4458,5277,4511
AIF1,0,0,0,0,1,0
AIF1L,0,0,0,2,0,0
AIFM1,368,440,426,748,841,797
AIFM2,296,314,322,711,732,606
AIFM3,11,8,7,3,11,7
AIG1,647,701,686,548,617,534
AIM2,0,0,0,3,0,3
AIMP1,1439,1664,1543,2590,2777,2236
AIMP2,175,221,254,670,700,618
AIP,392,426,369,387,405,357
AIPL1,0,0,0,0,0,0
AIRE,9,9,8,5,3,5
AIRIM,317,368,369,647,771,600
AJAP1,1,0,1,4,0,4
AJM1,42,29,32,31,41,27
AJUBA,1931,2276,2103,1949,2343,1834
AK1,286,324,270,243,281,263
AK2,1592,1585,1641,2609,3261,2535
AK3,2960,3372,3219,1734,1888,1648
AK4,299,313,305,914,860,806
AK4P3,6,1,1,6,15,6
AK5,144,149,173,522,515,468
AK6,316,373,377,769,922,650
AK7,7,1,3,1,0,0
AK8,6,1,5,2,2,3
AK9,96,89,73,83,80,73
AKAIN1,0,0,0,0,0,0
AKAP1,268,290,302,711,741,786
AKAP10,732,755,718,979,1090,919
AKAP11,2485,2461,2565,3063,3364,2766
AKAP12,3111,3109,3141,5753,6518,5139
AKAP13,2413,2569,2557,1906,2173,1698
AKAP14,0,0,1,0,1,0
AKAP17A,457,536,481,610,676,556
AKAP3,14,11,14,10,13,10
AKAP4,0,0,0,0,0,0
AKAP5,56,62,90,63,71,55
AKAP6,541,671,663,148,121,128
AKAP7,108,123,117,184,174,160
AKAP8,403,426,441,722,807,733
AKAP8L,562,606,624,803,987,779
AKAP9,2329,2301,2504,2085,2276,2029
AKIP1,427,458,523,371,466,354
AKIRIN1,1163,1266,1332,1715,1992,1709
AKIRIN2,562,698,652,851,968,821
AKNA,211,216,235,433,513,423
AKNAD1,1,0,0,3,3,0
AKR1A1,716,773,708,763,841,793
AKR1B1,1225,1425,1454,2451,3009,2259
AKR1B10,0,0,0,10,4,9
AKR1B15,0,0,0,0,0,0
AKR1C1,80,84,74,1277,1305,1183
AKR1C2,50,73,63,60,85,71
AKR1C3,7,9,9,7,5,2
AKR1C4,0,0,0,0,0,0
AKR1C8,0,0,0,0,1,0
AKR1D1,0,0,0,0,0,0
AKR1E2,44,34,36,54,40,38
AKR7A2,209,232,234,251,371,290
AKR7A3,0,1,1,3,1,0
AKR7L,2,4,1,6,7,2
AKT1,1621,1581,1554,2716,2833,2447
AKT1S1,578,658,690,920,1068,903
AKT2,1065,1196,1226,1339,1482,1237
AKT3,2693,3027,3125,2531,2795,2396
AKTIP,486,548,550,389,455,411
ALAD,756,882,889,585,632,514
ALAS1,361,441,460,834,1018,844
ALAS2,0,0,0,0,1,0
ALB,0,0,0,0,4,0
ALCAM,7506,8483,8633,9330,10835,9238
ALDH16A1,141,167,171,257,247,240
ALDH18A1,1666,1868,1878,2029,2382,1861
ALDH1A1,93043,101828,100271,23438,22470,17761
ALDH1A2,1,1,0,7,4,7
ALDH1A3,444,453,429,356,366,265
ALDH1B1,683,659,667,725,787,646
ALDH1L1,1,2,7,3,5,1
ALDH1L2,5247,5202,5388,4367,4860,4234
ALDH2,465,440,532,389,431,327
ALDH3A1,10,3,1,2,11,0
ALDH3A2,642,662,787,638,697,598
ALDH3B1,932,957,879,302,366,336
ALDH3B2,0,0,0,0,0,0
ALDH4A1,344,364,352,183,170,141
ALDH5A1,235,290,228,73,78,83
ALDH6A1,274,309,337,116,123,116
ALDH7A1,2131,2241,2296,1531,1725,1482
ALDH8A1,5,3,2,2,6,14
ALDH9A1,1117,1176,1166,1754,1850,1579
ALDOA,6282,6869,6653,9389,10783,8935
ALDOB,1,2,2,0,5,2
ALDOC,137,201,192,104,105,83
ALG1,360,391,359,516,589,515
ALG10,66,74,66,210,241,224
ALG10B,280,260,287,398,508,439
ALG11,1836,1831,2065,1338,1439,1282
ALG12,204,257,236,185,197,173
ALG13,540,603,529,458,576,489
ALG14,161,178,192,144,171,127
ALG1L2,4,2,0,0,2,0
ALG2,782,968,913,924,1019,805
ALG3,295,329,346,538,613,494
ALG5,605,653,641,683,824,652
ALG6,152,156,175,216,243,195
ALG8,472,506,547,812,922,733
ALG9,515,522,614,803,822,752
ALK,1,0,0,0,3,1
ALKAL1,0,1,1,0,0,0
ALKAL2,0,2,0,0,0,0
ALKBH1,135,149,165,324,325,318
ALKBH2,74,106,90,200,256,211
ALKBH3,211,220,240,366,445,387
ALKBH4,56,70,62,97,83,80
ALKBH5,819,949,938,900,1024,863
ALKBH6,133,165,170,177,226,195
ALKBH7,166,176,137,83,107,111
ALKBH8,276,286,288,402,541,506
ALLC,0,0,0,0,1,0
ALMS1,470,416,518,958,1126,878
ALOX12,4,3,1,2,5,0
ALOX12B,0,0,0,0,0,0
ALOX15,0,0,0,3,0,0
ALOX15B,0,9,6,2,1,2
ALOX5,0,0,0,0,0,0
ALOX5AP,2,3,0,3,5,10
ALOXE3,1,0,0,70,61,44
ALPG,0,0,0,1,0,0
ALPI,0,0,0,0,0,0
ALPK1,294,262,280,278,305,241
ALPK2,3109,3198,3305,2498,2657,2325
ALPK3,4,11,10,13,12,8
ALPL,65,62,49,27,28,10
ALPP,3,11,1,0,2,0
ALS2,1390,1347,1621,1469,1710,1432
ALS2CL,306,332,368,202,260,202
ALX1,16,7,17,22,26,30
ALX3,8,3,0,8,0,0
ALX4,1218,1298,1209,539,599,488
ALYREF,196,182,216,774,848,743
AMACR,199,228,227,212,295,219
AMBN,0,0,0,0,0,0
AMBP,0,0,0,1,0,4
AMBRA1,323,371,353,456,511,456
AMD1,2098,2327,2356,5124,5846,4685
AMDHD1,10,0,3,5,3,5
AMDHD2,88,87,77,184,259,205
AMELX,0,0,0,0,0,0
AMELY,0,0,0,0,0,0
AMER1,133,140,161,241,286,267
AMER2,0,0,0,0,0,0
AMER3,0,0,0,0,0,0
AMFR,1864,2074,1990,1680,1840,1677
AMH,12,8,7,18,21,20
AMHR2,0,0,0,0,0,0
AMIGO1,158,162,160,126,125,100
AMIGO2,3590,3926,3644,1777,2132,1826
AMIGO3,0,0,0,0,0,0
AMMECR1,590,598,610,1131,1371,1104
AMMECR1L,853,925,890,1214,1492,1308
AMN,0,2,0,1,0,0
AMN1,103,98,114,72,61,48
AMOT,143,171,192,88,79,78
AMOTL1,1422,1494,1588,2355,2700,2311
AMOTL2,4202,4601,4447,2777,2952,2372
AMPD1,0,1,0,0,0,0
AMPD2,708,783,744,694,827,655
AMPD3,479,524,558,735,835,646
AMPH,67,66,67,86,109,83
AMT,114,79,99,19,29,27
AMTN,0,0,0,0,0,0
AMY1A,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0
AMY1C,0,0,0,0,0,0
AMY2A,0,3,0,0,0,0
AMY2B,28,23,43,12,16,19
AMZ1,306,372,364,176,237,165
AMZ2,810,875,918,1212,1284,1138
ANAPC1,900,990,1027,1903,2143,1933
ANAPC10,138,192,207,219,270,233
ANAPC11,348,367,357,560,617,466
ANAPC13,1512,1671,1775,1753,2063,1838
ANAPC15,317,329,345,435,462,419
ANAPC16,1082,1249,1212,1009,1132,974
ANAPC2,295,385,296,411,475,358
ANAPC4,707,721,692,723,754,722
ANAPC5,2272,2378,2531,2520,2800,2387
ANAPC7,616,715,734,1169,1303,1113
ANG,65,67,68,41,37,36
ANGEL1,261,315,300,294,343,331
ANGEL2,565,641,582,748,805,681
ANGPT1,6027,6466,6700,2048,2077,1803
ANGPT2,2,0,5,11,7,5
ANGPT4,4,4,6,1,1,0
ANGPTL1,71,79,66,17,11,1
ANGPTL2,304,312,280,379,435,348
ANGPTL3,5,5,6,2,1,2
ANGPTL4,72,78,87,1308,1683,1332
ANGPTL5,0,1,0,4,0,0
ANGPTL6,0,2,2,1,1,0
ANGPTL7,0,1,0,0,0,0
ANGPTL8,0,0,0,5,0,1
ANHX,0,0,0,0,0,0
ANK1,526,528,563,168,178,151
ANK2,193,183,170,303,365,355
ANK3,14,19,14,10,5,6
ANKAR,46,52,42,57,53,41
ANKDD1A,139,178,168,127,136,118
ANKDD1B,3,6,3,4,4,2
ANKEF1,21,51,48,45,44,37
ANKFN1,156,145,180,11,13,17
ANKFY1,1811,1875,1877,2281,2493,2078
ANKH,3127,3342,3200,1045,1173,1002
ANKHD1,1383,1385,1414,2174,2501,2179
ANKHD1-EIF4EBP3,432,333,426,516,485,518
ANKIB1,1915,2131,2244,2075,2321,2008
ANKK1,0,2,0,0,1,1
ANKLE1,4,8,6,23,32,38
ANKLE2,1772,2070,1876,3787,4122,3422
ANKMY1,86,74,79,95,119,125
ANKMY2,442,440,454,554,522,504
ANKRA2,463,488,453,377,479,361
ANKRD1,867,995,930,5663,6601,5594
ANKRD10,689,700,732,1211,1374,1063
ANKRD11,3480,3543,3477,5691,6767,5626
ANKRD12,1209,1352,1438,1782,2139,1685
ANKRD13A,3384,3583,3596,2742,2952,2456
ANKRD13B,31,46,48,62,73,54
ANKRD13C,850,893,947,1248,1460,1185
ANKRD13D,283,280,287,276,283,276
ANKRD16,34,40,39,66,60,56
ANKRD17,2466,2580,2784,3420,3875,3150
ANKRD18A,1,1,1,1,4,0
ANKRD18B,0,1,2,8,18,18
ANKRD2,5,13,15,8,10,9
ANKRD20A1,0,0,0,0,0,0
ANKRD22,0,0,0,0,1,0
ANKRD23,10,9,18,15,21,4
ANKRD24,16,14,22,11,1,5
ANKRD26,453,450,438,588,719,641
ANKRD27,677,698,719,975,1127,957
ANKRD28,1925,1993,2090,4486,5172,4373
ANKRD29,113,125,118,78,98,74
ANKRD30A,0,0,0,0,0,0
ANKRD30B,0,0,0,0,4,0
ANKRD30BL,0,0,0,0,0,0
ANKRD31,2,4,2,8,20,14
ANKRD33,0,0,0,3,4,0
ANKRD33B,460,539,533,377,430,385
