gene_name,NC_1,NC_2,NC_3,S4_1,S4_2,S4_3
TEP1,977,993,1018,650,755,578
TEPSIN,179,177,241,151,194,185
TERB1,3,0,2,0,1,4
TERB2,0,0,0,0,0,0
TERF1,1209,1369,1413,711,859,655
TERF2,266,335,321,455,597,531
TERF2IP,1184,1423,1330,1398,1574,1203
TERT,0,0,0,0,5,0
TES,787,890,954,1199,1254,1053
TESC,0,0,0,3,0,0
TESK1,387,394,388,273,366,247
TESK2,64,87,109,41,59,44
TESMIN,10,13,11,23,47,31
TESPA1,0,0,0,0,0,0
TET1,85,109,135,115,174,98
TET2,550,578,670,640,843,631
TET3,135,121,109,661,765,559
TEX10,478,539,514,1620,1824,1472
TEX101,0,0,0,3,8,1
TEX11,0,0,0,0,0,0
TEX12,1,0,1,1,5,4
TEX13A,0,0,0,0,0,0
TEX13B,0,0,0,0,0,0
TEX13C,0,0,0,0,0,0
TEX13D,0,0,0,0,0,0
TEX14,4,2,0,1,1,2
TEX15,3,0,5,10,11,7
TEX19,0,0,0,0,1,0
TEX2,2258,2512,2546,1710,1911,1487
TEX22,6,5,3,1,2,1
TEX26,0,1,0,1,3,1
TEX261,1597,1692,1831,2188,2454,2034
TEX264,351,349,356,357,380,308
TEX28,0,0,0,0,0,0
TEX29,0,0,0,0,0,0
TEX30,118,168,175,531,591,528
TEX35,0,0,0,1,0,0
TEX36,0,0,0,10,5,10
TEX38,1,1,0,2,0,0
TEX44,0,0,0,0,0,0
TEX46,0,0,0,0,0,0
TEX47,0,0,0,0,0,0
TEX48,0,0,0,0,0,0
TEX50,0,0,0,0,0,0
TEX51,0,0,0,0,0,0
TEX52,8,4,6,3,3,3
TEX53,0,0,0,0,0,0
TEX54,0,0,3,1,0,0
TEX55,0,0,0,0,0,0
TEX9,35,43,48,34,34,42
TF,4,2,6,1,4,5
TFAM,421,446,490,1734,1868,1575
TFAP2A,910,908,873,808,891,799
TFAP2B,0,0,0,0,0,0
TFAP2C,265,304,265,518,618,544
TFAP2D,0,0,0,0,0,0
TFAP2E,32,45,36,18,15,13
TFAP4,35,29,25,115,176,133
TFB1M,105,140,146,229,240,177
TFB2M,304,335,273,666,774,701
TFCP2,609,589,599,845,909,835
TFCP2L1,1,0,1,0,6,0
TFDP1,2022,2245,2214,3697,4046,3379
TFDP2,901,974,1117,698,770,690
TFDP3,0,0,0,0,0,0
TFE3,1897,1885,1990,1799,2078,1761
TFEB,105,100,90,85,102,79
TFEC,1,0,0,0,1,0
TFF1,0,0,0,0,0,0
TFF2,0,0,0,0,0,0
TFF3,0,0,0,0,0,0
TFG,2519,2640,2732,2511,2783,2365
TFIP11,420,472,423,769,922,759
TFPI,1093,1346,1302,709,823,596
TFPI2,20,23,27,1249,1334,1094
TFPT,111,159,146,232,253,215
TFR2,4,11,14,26,33,15
TFRC,3712,4075,4171,8710,10428,8922
TG,26,27,33,32,31,34
TGDS,222,360,280,394,446,427
TGFA,10,14,6,16,16,16
TGFB1,541,511,592,883,1028,877
TGFB1I1,1314,1502,1362,889,996,816
TGFB2,1166,1216,1290,1068,1107,1013
TGFB3,148,153,193,33,28,48
TGFBI,378,383,413,8011,9347,7695
TGFBR1,2896,3003,2993,2806,2816,2412
TGFBR2,3841,4277,4214,5070,5908,4846
TGFBR3,454,461,540,643,691,696
TGFBR3L,9,9,14,13,18,8
TGFBRAP1,556,613,638,1191,1251,1160
TGIF1,884,872,869,1555,1838,1539
TGIF2,245,219,245,253,254,253
TGIF2-RAB5IF,0,0,0,0,11,4
TGIF2LX,0,0,0,0,0,0
TGIF2LY,0,0,0,0,0,0
TGM1,20,46,27,23,30,18
TGM2,14589,15547,15381,9087,10165,8026
TGM3,0,0,0,0,0,0
TGM4,0,0,1,0,1,3
TGM5,0,3,0,0,0,0
TGM6,0,0,0,0,0,0
TGM7,0,0,0,0,0,0
TGOLN2,6067,6391,6343,7755,8493,6975
TGS1,440,481,491,855,991,819
TH,0,0,0,0,0,0
THADA,578,568,634,685,703,731
THAP1,262,341,310,359,450,372
THAP10,70,77,69,147,158,152
THAP11,181,240,192,233,236,197
THAP12,683,800,841,1453,1604,1438
THAP2,192,162,166,216,221,195
THAP3,93,115,106,154,149,131
THAP4,249,292,329,431,556,439
THAP5,474,523,534,820,894,770
THAP6,315,346,416,422,497,431
THAP7,101,115,120,135,175,127
THAP8,90,74,88,50,76,36
THAP9,52,55,69,53,84,68
THBD,13,12,8,28,26,40
THBS1,306103,326523,323299,210463,233058,198935
THBS2,17142,18592,18281,3203,3537,2648
THBS3,511,519,515,217,228,228
THBS4,1,3,5,4,3,1
THEM4,170,184,177,238,213,246
THEM5,0,0,0,0,1,0
THEM6,63,81,58,132,136,106
THEMIS,1,3,2,3,1,0
THEMIS2,5,9,11,50,63,74
THG1L,190,232,223,430,468,398
THNSL1,62,87,72,188,198,147
THNSL2,77,90,94,43,40,36
THOC1,369,465,378,701,848,686
THOC2,2076,2151,2449,2634,2877,2486
THOC3,392,508,381,850,887,898
THOC5,323,388,331,550,620,543
THOC6,105,112,123,225,211,152
THOC7,506,571,581,825,1009,856
THOP1,194,215,206,666,754,623
THPO,2,1,3,0,0,0
THRA,733,783,815,449,449,414
THRAP3,2780,3018,2955,3937,4577,3985
THRB,745,739,795,157,166,175
THRSP,1,5,2,0,0,1
THSD1,29,47,44,133,159,137
THSD4,851,900,887,827,947,770
THSD7A,0,0,0,0,0,0
THSD7B,27,34,36,12,10,2
THSD8,0,0,2,1,2,0
THTPA,199,217,196,98,124,95
THUMPD1,1068,1181,1223,1737,1860,1677
THUMPD2,139,169,128,326,359,318
THUMPD3,669,767,677,997,1214,961
